program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	tf	source_capability_id	source_cache_key	directional_discordance_status	any_resource_discordance_status	resource_discordance_reasons	resource_estimability	resource_overlap_counts	resource_activity_scores	resource_directions
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	BHLHE22	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;resource_estimability_difference	"{""CollecTRI"":false,""DoRothEA"":true}"	"{""CollecTRI"":0,""DoRothEA"":5}"	"{""DoRothEA"":-0.5217057027305172}"	"{""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	BHLHE40	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":8,""DoRothEA"":12}"	"{""CollecTRI"":1.1241950123692908,""DoRothEA"":-0.7387857208988692}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CDX2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":11,""DoRothEA"":1}"	"{""CollecTRI"":1.4339744427489294}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CEBPA	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":46,""DoRothEA"":26}"	"{""CollecTRI"":2.5104236437738385,""DoRothEA"":2.5095350663215696}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CEBPB	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":68,""DoRothEA"":10}"	"{""CollecTRI"":3.9318725046443133,""DoRothEA"":0.9789890813455652}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CEBPD	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":18,""DoRothEA"":5}"	"{""CollecTRI"":1.3056938801328868,""DoRothEA"":-0.6207229819513024}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CEBPG	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":37,""DoRothEA"":9}"	"{""CollecTRI"":2.603048976133443,""DoRothEA"":1.7726375789344158}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CLOCK	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":10,""DoRothEA"":11}"	"{""CollecTRI"":0.36130719997877914,""DoRothEA"":1.5328646180619199}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CREB1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":74,""DoRothEA"":15}"	"{""CollecTRI"":2.6548272817059084,""DoRothEA"":1.107741369791361}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CREB3	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":false,""DoRothEA"":false}"	"{""CollecTRI"":1,""DoRothEA"":3}"	{}	{}
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CREB3L1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":false,""DoRothEA"":false}"	"{""CollecTRI"":1,""DoRothEA"":2}"	{}	{}
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CREM	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":14,""DoRothEA"":13}"	"{""CollecTRI"":0.903278752934459,""DoRothEA"":1.1775939165124754}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CTCF	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":25,""DoRothEA"":16}"	"{""CollecTRI"":0.3169227386948069,""DoRothEA"":-0.04963760434347177}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CTCFL	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":false,""DoRothEA"":true}"	"{""CollecTRI"":3,""DoRothEA"":8}"	"{""DoRothEA"":0.835616389571217}"	"{""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CUX1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":16,""DoRothEA"":4}"	"{""CollecTRI"":0.4276598283451565}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	DUX4	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":false,""DoRothEA"":false}"	"{""CollecTRI"":0,""DoRothEA"":4}"	{}	{}
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":61,""DoRothEA"":52}"	"{""CollecTRI"":2.1922877076041787,""DoRothEA"":2.729659943579419}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":14,""DoRothEA"":4}"	"{""CollecTRI"":1.7538017306546783}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F3	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":18,""DoRothEA"":3}"	"{""CollecTRI"":1.3822202946300108}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F4	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":37,""DoRothEA"":41}"	"{""CollecTRI"":0.06094344347902053,""DoRothEA"":1.9819525204050874}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F5	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":5,""DoRothEA"":3}"	"{""CollecTRI"":-0.17936591626617587}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F6	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":5,""DoRothEA"":5}"	"{""CollecTRI"":0.41066615463013406,""DoRothEA"":0.14238954892468214}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F7	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":false,""DoRothEA"":false}"	"{""CollecTRI"":2,""DoRothEA"":3}"	{}	{}
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	EBF1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":9,""DoRothEA"":16}"	"{""CollecTRI"":1.823536581027368,""DoRothEA"":1.5154827275017317}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	EGR1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":65,""DoRothEA"":24}"	"{""CollecTRI"":2.000575000670113,""DoRothEA"":0.03874667891214632}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	EHF	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":false,""DoRothEA"":false}"	"{""CollecTRI"":1,""DoRothEA"":1}"	{}	{}
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ELF1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":20,""DoRothEA"":9}"	"{""CollecTRI"":2.9919851602494534,""DoRothEA"":0.06880054026436803}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"
